# Generated by tools/generate-openvox-data.py from the OpenVox sources.
get	Any $value, String $dotted_string, [Any $default_value], &block		Digs into a value with dot notation to get a value from within a structure.
getvar	Pattern[/\A(?:::)?(?:[a-z]\w*::)*[a-z_]\w*(?:\.|\Z)/] $get_string, [Any $default_value], &block, String $get_string, [Any $default_value], &block		Digs into a variable with dot notation to get a value from a structure.
group_by	Collection $collection, &block;Array $array, &block	Hash	Groups the collection by result of the block. Returns a hash where the keys are the evaluated result from the block and the values are arrays of elements in the collection that correspond to the key.
hiera			Performs a standard priority lookup of the hierarchy and returns the most specific value for a given key. The returned value can be any type of data.
hiera_array			Finds all matches of a key throughout the hierarchy and returns them as a single flattened array of unique values. If any of the matched values are arrays, they're flattened and included in the results. This is called an [array merge lookup](https://puppet.com/docs/hiera/latest/lookup_types.html#array-merge).
hiera_hash			Finds all matches of a key throughout the hierarchy and returns them in a merged hash.
hiera_include			Assigns classes to a node using an [array merge lookup](https://puppet.com/docs/hiera/latest/lookup_types.html#array-merge) that retrieves the value for a user-specified key from Hiera's data.
hocon_data	Struct[{path=>String[1]}] $options, Puppet::LookupContext $context, Hash $options, Puppet::LookupContext $context		The `hocon_data` is a hiera 5 `data_hash` data provider function. See [the configuration guide documentation](https://puppet.com/docs/puppet/latest/hiera_config_yaml_5.html#configuring-a-hierarchy-level-built-in-backends) for how to use this function.
import			The import function raises an error when called to inform the user that import is no longer supported.
include			Declares one or more classes, causing the resources in them to be evaluated and added to the catalog. Accepts a class name, an array of class names, or a comma-separated list of class names.
index	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block;String $str, Variant[String,Regexp] $match;Iterable $enumerable, Any $match		Returns the index (or key in a hash) to a first-found value in an `Iterable` value.
info	*Any $values	Undef	Logs a message on the server at level `info`.
inline_epp	String $template, [Hash[Pattern[/^\w+$/], Any] $parameters]	Variant[String, Sensitive[String]]	Evaluates an Embedded Puppet (EPP) template string and returns the rendered text result as a String.
inline_template			Evaluate a template string and return its value. See [the templating docs](https://puppet.com/docs/puppet/latest/lang_template.html) for more information. Note that if multiple template strings are specified, their output is all concatenated and returned as the output of the function.
join	Array $arg, [String $delimiter]		Joins the values of an Array into a string with elements separated by a delimiter.
json_data	Struct[{path=>String[1]}] $options, Puppet::LookupContext $context, Hash $options, Puppet::LookupContext $context		The `json_data` is a hiera 5 `data_hash` data provider function. See [the configuration guide documentation](https://puppet.com/docs/puppet/latest/hiera_config_yaml_5.html#configuring-a-hierarchy-level-built-in-backends) for how to use this function.
keys	Hash $hsh		Returns the keys of a hash as an Array
length	Collection $arg;String $arg;Binary $arg		Returns the length of an Array, Hash, String, or Binary value.
lest	Any $arg, &block		Calls a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) without arguments if the value given to `lest` is `undef`. Returns the result of calling the lambda if the argument is `undef`, otherwise the given argument.
lookup	NameType $name, [ValueType $value_type], [MergeType $merge];NameType $name, Optional[ValueType] $value_type, Optional[MergeType] $merge, DefaultValueType $default_value;NameType $name, [ValueType $value_type], [MergeType $merge], &block;OptionsWithName $options_hash, &block;Variant[String,Array[String]] $name, OptionsWithoutName $options_hash, &block		Uses the Puppet lookup system to retrieve a value for a given key. By default, this returns the first value found (and fails compilation if no values are available), but you can configure it to merge multiple values into one, fail gracefully, and more.
lstrip	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Strips leading spaces from a String
map	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block		Applies a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) to every value in a data structure and returns an array containing the results.
match	String $string, Variant[Any, Type] $pattern;Array[String] $string, Variant[Any, Type] $pattern		Matches a regular expression against a string and returns an array containing the match and any matched capturing groups.
max	*Numeric $values;*String $values;*Semver $values;*Timespan $values;*Timestamp $values;Array[Numeric] $values, &block;Array[String] $values, &block;Array[Semver] $values, &block;Array[Timespan] $values, &block;Array[Timestamp] $values, &block;Array $values, &block;*Any $values, &block;*Any $values		Returns the highest value among a variable number of arguments. Takes at least one argument.
md5			Returns a MD5 hash value from a provided string.
min	*Numeric $values;*String $values;*Semver $values;*Timespan $values;*Timestamp $values;Array[Numeric] $values, &block;Array[Semver] $values, &block;Array[Timespan] $values, &block;Array[Timestamp] $values, &block;Array[String] $values, &block;Array $values, &block;*Any $values, &block;*Any $values		Returns the lowest value among a variable number of arguments. Takes at least one argument.
module_directory	*String $names;*Array[String] $names		Finds an existing module and returns the path to its root directory.
new	Type $type, *Any $args, &block		Creates a new instance/object of a given data type.
next	[Any $value]		Makes iteration continue with the next value, optionally with a given value for this iteration. If a value is not given it defaults to `undef`
notice	*Any $values	Undef	Logs a message on the server at level `notice`.
partition	Collection $collection, &block;Array $array, &block	Tuple[Array, Array]	Returns two arrays, the first containing the elements of enum for which the block evaluates to true, the second containing the rest.
realize			Make a virtual object real. This is useful when you want to know the name of the virtual object and don't want to bother with a full collection. It is slightly faster than a collection, and, of course, is a bit shorter. You must pass the object using a reference; e.g.: `realize User[luke]`.
reduce	Iterable $enumerable, &block;Iterable $enumerable, Any $memo, &block		Applies a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) to every value in a data structure from the first argument, carrying over the returned value of each iteration, and returns the result of the lambda's final iteration. This lets you create a new value or data structure by combining values from the first argument's data structure.
regsubst	Variant[Array[Variant[String,Sensitive[String]]],Sensitive[Array[Variant[String,Sensitive[String]]]],Variant[String,Sensitive[String]]] $target, String $pattern, Variant[String,Hash[String,String]] $replacement, [Optional[Pattern[/^[GEIM]*$/]] $flags];Variant[Array[Variant[String,Sensitive[String]]],Sensitive[Array[Variant[String,Sensitive[String]]]],Variant[String,Sensitive[String]]] $target, Variant[Regexp,Type[Regexp]] $pattern, Variant[String,Hash[String,String]] $replacement, [Pattern[/^G?$/] $flags];Variant[Array[Variant[String,Sensitive[String]]],Sensitive[Array[Variant[String,Sensitive[String]]]],Variant[String,Sensitive[String]]] $target, String $pattern, Variant[String,Hash[String,String]] $replacement, [Optional[Pattern[/^[GEIM]*$/]] $flags], [Enum['N','E','S','U'] $encoding]		Performs regexp replacement on a string or array of strings. OpenVox 8 accepts an ignored fifth encoding argument; OpenVox 9 removes it. Omit it for compatibility with both versions.
require			Requires the specified classes. Evaluate one or more classes, adding the required class as a dependency.
return	[Any $value]		Makes iteration continue with the next value, optionally with a given value for this iteration. If a value is not given it defaults to `undef`
reverse_each	Iterable $iterable;Iterable $iterable, &block		Reverses the order of the elements of something that is iterable and optionally runs a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) for each element.
round	Numeric $val		Returns an `Integer` value rounded to the nearest value. Takes a single `Numeric` value as an argument.
rstrip	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Strips trailing spaces from a String
scanf	String $data, String $format, &block		Scans a string and returns an array of one or more converted values based on the given format string. See the documentation of Ruby's String#scanf method for details about the supported formats (which are similar but not identical to the formats used in Puppet's `sprintf` function.)
sha1			Returns a SHA1 hash value from a provided string.
sha256			Returns a SHA256 hash value from a provided string.
shellquote			\\ Quote and concatenate arguments for use in Bourne shell. Each argument is quoted separately, and then all are concatenated with spaces. If an argument is an array, the elements of that array is interpolated within the rest of the arguments; this makes it possible to have an array of arguments and pass that array to shellquote instead of having to specify each argument individually in the call.
size	Variant[Collection, String, Binary] $arg		The same as length() - returns the size of an Array, Hash, String, or Binary value.
slice	Hash[Any, Any] $hash, Integer[1, default] $slice_size, &block;Iterable $enumerable, Integer[1, default] $slice_size, &block		Slices an array or hash into pieces of a given size.
sort	String $string_value, &block;Array $array_value, &block		Sorts an Array numerically or lexicographically or the characters of a String lexicographically. Please note: This function is based on Ruby String comparison and as such may not be entirely UTF8 compatible. To ensure compatibility please use this function with Ruby 2.4.0 or greater - https://bugs.ruby-lang.org/issues/10085.
split	String $str, String $pattern;String $str, Regexp $pattern;String $str, Type[Regexp] $pattern;Sensitive[String] $sensitive, String $pattern;Sensitive[String] $sensitive, Regexp $pattern;Sensitive[String] $sensitive, Type[Regexp] $pattern		Splits a string into an array using a given pattern. The pattern can be a string, regexp or regexp type.
sprintf			Perform printf-style formatting of text. The first parameter is format string describing how the rest of the parameters should be formatted. See the documentation for the [`Kernel::sprintf` function](https://ruby-doc.org/core/Kernel.html) in Ruby for details. To use [named format](https://idiosyncratic-ruby.com/49-what-the-format.html) arguments, provide a hash containing the target string values as the argument to be formatted. For example: ```puppet notice sprintf(\\
step	Iterable $iterable, Integer[1] $step;Iterable $iterable, Integer[1] $step, &block		When no block is given, Puppet returns a new `Iterable` which allows it to be directly chained into another function that takes an `Iterable` as an argument.
strftime	Timespan $time_object, String $format;Timestamp $time_object, String $format, [String $timezone];String $format, [String $timezone]		Formats timestamp or timespan according to the directives in the given format string. The directives begins with a percent (%) character. Any text not listed as a directive will be passed through to the output string.
strip	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Strips leading and trailing spaces from a String
tag			Add the specified tags to the containing class or definition. All contained objects will then acquire that tag, also.
tagged			A boolean function that tells you whether the current container is tagged with the specified tags. The tags are ANDed, so that all of the specified tags must be included for the function to return true.
template			Loads an ERB template from a module, evaluates it, and returns the resulting value as a string. The argument to this function should be a `<MODULE NAME>/<TEMPLATE FILE>` reference, which will load `<TEMPLATE FILE>` from a module's `templates` directory. (For example, the reference `apache/vhost.conf.erb` will load the file `<MODULES DIRECTORY>/apache/templates/vhost.conf.erb`.) This function can also accept: * An absolute path, which can load a template file from anywhere on disk. * Multiple arguments, which will evaluate all of the specified templates and return their outputs concatenated…
then	Any $arg, &block		Calls a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) with the given argument unless the argument is `undef`. Returns `undef` if the argument is `undef`, and otherwise the result of giving the argument to the lambda.
tree_each	Variant[Iterator, Array, Hash, Object] $tree, [OptionsType $options], &block;Variant[Iterator, Array, Hash, Object] $tree, [OptionsType $options]		Runs a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) recursively and repeatedly using values from a data structure, then returns the unchanged data structure, or if a lambda is not given, returns an `Iterator` for the tree.
type	Any $value, [Enum[detailed] $inference_method];Any $value, Enum[reduced] $inference_method;Any $value, Enum[generalized] $inference_method		Returns the data type of a given value with a given degree of generality.
unique	String $string, &block;Hash $hash, &block;Array $array, &block;Iterable $iterable, &block		Produces a unique set of values from an `Iterable` argument.
unwrap	Sensitive $arg, &block;Any $arg, &block		Unwraps a Sensitive value and returns the wrapped object. Returns the Value itself, if it is not Sensitive.
upcase	Numeric $arg;String $arg;Array[StringData] $arg;Hash[StringData, StringData] $arg		Converts a String, Array or Hash (recursively) into upper case.
values	Hash $hsh		Returns the values of a hash as an Array
versioncmp	String $a, String $b, [Boolean $ignore_trailing_zeroes]		Compares two version numbers.
warning	*Any $values	Undef	Logs a message on the server at level `warning`.
with	*Any $arg, &block		Calls a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) with the given arguments and returns the result.
yaml_data	Struct[{path=>String[1]}] $options, Puppet::LookupContext $context, Hash $options, Puppet::LookupContext $context		The `yaml_data` is a hiera 5 `data_hash` data provider function. See [the configuration guide documentation](https://puppet.com/docs/puppet/latest/hiera_config_yaml_5.html#configuring-a-hierarchy-level-built-in-backends) for how to use this function.
