# Generated by tools/generate-openvox-data.py from the OpenVox sources.
component	name	parameter		The name of the component. Generally optional.
file	owner	property		The user to whom the file should belong. Argument can be a user name or a user ID. On Windows, a group (such as "Administrators") can be set as a file's owner and a user (such as "Administrator") can be set as a file's group; however, a file's owner and group shouldn't be the same. (If the owner is…
file	path	parameter		The path to the file to manage. Must be fully qualified. On Windows, the path should include the drive letter and should use `/` as the separator character (rather than `\\\\`).
file	provider	parameter		The backend used to manage this resource.
file	purge	parameter		Whether unmanaged files should be purged. This option only makes sense when `ensure => directory` and `recurse => true`. * When recursively duplicating an entire directory with the `source` attribute, `purge => true` will automatically purge any files that are not in the source directory. * When…
file	recurse	parameter	true,false,remote	Whether to recursively manage the _contents_ of a directory. This attribute is only used when `ensure => directory` is set. The allowed values are: * `false` --- The default behavior. The contents of the directory will not be automatically managed. * `remote` --- If the `source` attribute is set,…
file	recurselimit	parameter		How far Puppet should descend into subdirectories, when using `ensure => directory` and either `recurse => true` or `recurse => remote`. The recursion limit affects which files will be copied from the `source` directory, as well as which files can be purged when `purge => true`. Setting…
file	replace	parameter		Whether to replace a file or symlink that already exists on the local system but whose content doesn't match what the `source` or `content` attribute specifies. Setting this to false allows file resources to initialize files without overwriting future changes. Note that this only affects content;…
file	selinux_ignore_defaults	parameter	true,false	If this is set, Puppet will not call the SELinux function selabel_lookup to supply defaults for the SELinux attributes (seluser, selrole, seltype, and selrange). In general, you should leave this set at its default and only set it to true when you need Puppet to not try to fix SELinux labels…
file	selrange	property		What the SELinux range component of the context of the file should be. Any valid SELinux range component is accepted. For example `s0` or `SystemHigh`. If not specified, it defaults to the value returned by selabel_lookup for the file, if any exists. Only valid on systems with SELinux support…
file	selrole	property		What the SELinux role component of the context of the file should be. Any valid SELinux role component is accepted. For example `role_r`. If not specified, it defaults to the value returned by selabel_lookup for the file, if any exists. Only valid on systems with SELinux support enabled.
file	seltype	property		What the SELinux type component of the context of the file should be. Any valid SELinux type component is accepted. For example `tmp_t`. If not specified, it defaults to the value returned by selabel_lookup for the file, if any exists. Only valid on systems with SELinux support enabled.
file	seluser	property		What the SELinux user component of the context of the file should be. Any valid SELinux user component is accepted. For example `user_u`. If not specified, it defaults to the value returned by selabel_lookup for the file, if any exists. Only valid on systems with SELinux support enabled.
file	show_diff	parameter		Whether to display differences when the file changes, defaulting to true. This parameter is useful for files that may contain passwords or other secret data, which might otherwise be included in Puppet reports or other insecure outputs. If the global `show_diff` setting is false, then no diffs will…
file	source	parameter		A source file, which will be copied into place on the local system. This attribute is mutually exclusive with `content` and `target`. Allowed values are: * `puppet:` URIs, which point to files in modules or Puppet file server mount points. * Fully qualified paths to locally available files…
file	source_permissions	parameter	use,use_when_creating,ignore	Whether (and how) Puppet should copy owner, group, and mode permissions from the `source` to `file` resources when the permissions are not explicitly specified. (In all cases, explicit permissions will take precedence.) Valid values are `use`, `use_when_creating`, and `ignore`: * `ignore` (the…
file	sourceselect	parameter	first,all	Whether to copy all valid sources, or just the first one. This parameter only affects recursive directory copies; by default, the first valid source is the only one used, but if this parameter is set to `all`, then all valid sources will have all of their contents copied to the local system. If a…
file	staging_location	parameter		When rendering a file first render it to this location. The default location is the same path as the desired location with a unique filename. This parameter is useful in conjuction with validate_cmd to test a file before moving the file to it's final location. WARNING: File replacement is only…
file	target	property	notlink	The target for creating a link. Currently, symlinks are the only type supported. This attribute is mutually exclusive with `source` and `content`. Symlink targets can be relative, as well as absolute: # (Useful on Solaris) file { '/etc/inetd.conf': ensure => link, target => 'inet/inetd.conf', }…
file	type	property		A read-only state to check the file type.
file	validate_cmd	parameter		A command for validating the file's syntax before replacing it. If Puppet would need to rewrite a file due to new `source` or `content`, it will check the new content's validity first. If validation fails, the file resource will fail. This command must have a fully qualified path, and should…
file	validate_replacement	parameter		The replacement string in a `validate_cmd` that will be replaced with an input file name.
filebucket	name	parameter		The name of the filebucket.
filebucket	path	parameter		The path to the _local_ filebucket; defaults to the value of the `clientbucketdir` setting. To use a remote filebucket, you _must_ set this attribute to `false`.
filebucket	port	parameter		The port on which the remote server is listening. This setting is _only_ consulted if the `path` attribute is set to `false`. If this attribute is not specified, the first entry in the `server_list` configuration setting is used, followed by the value of the `serverport` setting if `server_list` is…
filebucket	server	parameter		The server providing the remote filebucket service. This setting is _only_ consulted if the `path` attribute is set to `false`. If this attribute is not specified, the first entry in the `server_list` configuration setting is used, followed by the value of the `server` setting if `server_list` is…
group	allowdupe	parameter		Whether to allow duplicate GIDs.
group	attribute_membership	parameter	inclusive,minimum	AIX only. Configures the behavior of the `attributes` parameter. * `minimum` (default) --- The provided list of attributes is partial, and Puppet **ignores** any attributes that aren't listed there. * `inclusive` --- The provided list of attributes is comprehensive, and Puppet **purges** any…
group	attributes	property		Specify group AIX attributes, as an array of `'key=value'` strings. This parameter's behavior can be configured with `attribute_membership`.
group	auth_membership	parameter		Configures the behavior of the `members` parameter. * `false` (default) --- The provided list of group members is partial, and Puppet **ignores** any members that aren't listed there. * `true` --- The provided list of of group members is comprehensive, and Puppet **purges** any members that aren't…
group	ensure	property	present,absent	Create or remove the group.
group	forcelocal	parameter		Forces the management of local accounts when accounts are also being managed by some other Name Switch Service (NSS). For AIX, refer to the `ia_load_module` parameter. This option relies on your operating system's implementation of `luser*` commands, such as `luseradd` , `lgroupadd`, and…
group	gid	property		The group ID. Must be specified numerically. If no group ID is specified when creating a new group, then one will be chosen automatically according to local system standards. This will likely result in the same group having different GIDs on different systems, which is not recommended. On Windows,…
group	ia_load_module	parameter		The name of the I&A module to use to manage this group. This should be set to `files` if managing local groups.
group	members	property		The members of the group. For platforms or directory services where group membership is stored in the group objects, not the users. This parameter's behavior can be configured with `auth_membership`.
group	name	parameter		The group name. While naming limitations vary by operating system, it is advisable to restrict names to the lowest common denominator, which is a maximum of 8 characters beginning with a letter. Note that Puppet considers group names to be case-sensitive, regardless of the platform's own rules; be…
group	provider	parameter		The backend used to manage this resource.
group	system	parameter		Whether the group is a system group with lower GID.
notify	message	property		The message to be sent to the log. Note that the value specified must be a string.
notify	name	parameter		An arbitrary tag for your own reference; the name of the message.
notify	withpath	parameter	true,false	Whether to show the full object path.
package	adminfile	parameter		A file containing package defaults for installing packages. This attribute is only used on Solaris. Its value should be a path to a local file stored on the target system. Solaris's package tools expect either an absolute file path or a relative path to a file in `/var/sadm/install/admin`. The…
package	allow_virtual	parameter		Specifies if virtual package names are allowed for install and uninstall.
package	allowcdrom	parameter	true,false	Tells apt to allow cdrom sources in the sources.list file. Normally apt will bail if you try this.
package	category	parameter		A read-only parameter set by the package.
package	command	parameter		The targeted command to use when managing a package: package { 'mysql': provider => gem, } package { 'mysql-opt': name => 'mysql', provider => gem, command => '/opt/ruby/bin/gem', } Each provider defines a package management command and uses the first instance of the command found in the PATH.…
package	configfiles	parameter	keep,replace	Whether to keep or replace modified config files when installing or upgrading a package. This only affects the `apt` and `dpkg` providers.
package	description	parameter		A read-only parameter set by the package.
package	enable_only	parameter		Tells `dnf module` to only enable a specific module, instead of installing its default profile. Modules with no default profile will be enabled automatically without the use of this parameter. Conflicts with the `flavor` property, which selects a profile to install.
package	ensure	property	present,absent,purged,disabled,latest	What state the package should be in. On packaging systems that can retrieve new packages on their own, you can choose which package to retrieve by specifying a version number or `latest` as the ensure value. On packaging systems that manage configuration files separately from "normal" system files,…
package	environment	parameter		An array of additional environment variables to set for package commands, such as `[ 'HOME=/root', 'DISABLE_TELEMETRY=1']`. package { 'opensearch': ensure => installed, environment => [ 'OPENSEARCH_INITIAL_ADMIN_PASSWORD=myStrongP@ss!' ], } These variables are applied to all package management…
package	flavor	property		OpenBSD and DNF modules support 'flavors', which are further specifications for which type of package you want.
package	install_only	parameter		It should be set for packages that should only ever be installed, never updated. Kernels in particular fall into this category.
package	install_options	parameter		An array of additional options to pass when installing a package. These options are package-specific, and should be documented by the software vendor. One commonly implemented option is `INSTALLDIR`: package { 'mysql': ensure => installed, source => 'N:/packages/mysql-5.5.16-winx64.msi',…
package	instance	parameter		A read-only parameter set by the package.
package	mark	property	hold,none	Set to hold to tell Debian apt/Solaris pkg to hold the package version #{mark_doc} Default is "none". Mark can be specified with or without `ensure`, if `ensure` is missing will default to "present". Mark cannot be specified together with "purged", or "absent" values for `ensure`.
package	name	parameter		The package name. This is the name that the packaging system uses internally, which is sometimes (especially on Solaris) a name that is basically useless to humans. If a package goes by several names, you can use a single title and then set the name conditionally: # In the 'openssl' class $ssl =…
package	package_settings	property		Settings that can change the contents or configuration of a package. The formatting and effects of package_settings are provider-specific; any provider that implements them must explain how to use them in its documentation. (Our general expectation is that if a package is installed but its settings…
package	platform	parameter		A read-only parameter set by the package.
package	provider	parameter		The backend used to manage this resource.
package	reinstall_on_refresh	parameter	true,false	Whether this resource should respond to refresh events (via `subscribe`, `notify`, or the `~>` arrow) by reinstalling the package. Only works for providers that support the `reinstallable` feature. This is useful for source-based distributions, where you may want to recompile a package if the build…
package	responsefile	parameter		A file containing any necessary answers to questions asked by the package. This is currently used on Solaris and Debian. The value will be validated according to system rules, but it should generally be a fully qualified path.
package	root	parameter		A read-only parameter set by the package.
package	source	parameter		Where to find the package file. This is mostly used by providers that don't automatically download packages from a central repository. (For example: the `macports` provider ignores this attribute, `apt` provider uses it if present and the `rpm` and `dpkg` providers require it.) Different providers…
package	status	parameter		A read-only parameter set by the package.
package	uninstall_options	parameter		An array of additional options to pass when uninstalling a package. These options are package-specific, and should be documented by the software vendor. For example: package { 'VMware Tools': ensure => absent, uninstall_options => [ { 'REMOVE' => 'Sync,VSS' } ], } Each option in the array can…
package	vendor	parameter		A read-only parameter set by the package.
resources	name	parameter		The name of the type to be managed.
resources	purge	parameter		Whether to purge unmanaged resources. When set to `true`, this will delete any resource that is not specified in your configuration and is not autorequired by any managed resources. **Note:** The `ssh_authorized_key` resource type can't be purged this way; instead, see the `purge_ssh_keys`…
resources	unless_system_user	parameter	true,false	This keeps system users from being purged. By default, it does not purge users whose UIDs are less than the minimum UID for the system (typically 500 or 1000), but you can specify a different UID as the inclusive limit.
resources	unless_uid	parameter		This keeps specific uids or ranges of uids from being purged when purge is true. Accepts integers, integer strings, and arrays of integers or integer strings. To specify a range of uids, consider using the range() function from stdlib.
schedule	name	parameter		The name of the schedule. This name is used when assigning the schedule to a resource with the `schedule` metaparameter: schedule { 'everyday': period => daily, range => '2 - 4', } exec { '/usr/bin/apt-get update': schedule => 'everyday', }
schedule	period	parameter	hourly,daily,weekly,monthly,never	The period of repetition for resources on this schedule. The default is for resources to get applied every time Puppet runs. Note that the period defines how often a given resource will get applied but not when; if you would like to restrict the hours that a given resource can be applied (for…
schedule	periodmatch	parameter	number,distance	Whether periods should be matched by a numeric value (for instance, whether two times are in the same hour) or by their chronological distance apart (whether two times are 60 minutes apart).
schedule	range	parameter		The earliest and latest that a resource can be applied. This is always a hyphen-separated range within a 24 hour period, and hours must be specified in numbers between 0 and 23, inclusive. Minutes and seconds can optionally be provided, using the normal colon as a separator. For instance: schedule…
schedule	repeat	parameter		How often a given resource may be applied in this schedule's `period`. Must be an integer.
schedule	weekday	parameter		The days of the week in which the schedule should be valid. You may specify the full day name 'Tuesday', the three character abbreviation 'Tue', or a number (as a string or as an integer) corresponding to the day of the week where 0 is Sunday, 1 is Monday, and so on. Multiple days can be specified…
service	binary	parameter		The path to the daemon. This is only used for systems that do not support init scripts. This binary will be used to start the service if no `start` parameter is provided.
service	control	parameter		The control variable used to manage services (originally for HP-UX). Defaults to the upcased service name plus `START` replacing dots with underscores, for those providers that support the `controllable` feature.
service	enable	property	true,false,manual,mask,delayed	Whether a service should be enabled to start at boot. This property behaves differently depending on the platform; wherever possible, it relies on local tools to enable or disable a given service. Default values depend on the platform. If you don't specify a value for the `enable` attribute, Puppet…
service	ensure	property	stopped,running	Whether a service should be running. Default values depend on the platform.
service	flags	property		Specify a string of flags to pass to the startup script.
service	hasrestart	parameter	true,false	Specify that an init script has a `restart` command. If this is false and you do not specify a command in the `restart` attribute, the init script's `stop` and `start` commands will be used.
service	hasstatus	parameter	true,false	Declare whether the service's init script has a functional status command. This attribute's default value changed in Puppet 2.7.0. The init script's status command must return 0 if the service is running and a nonzero value otherwise. Ideally, these exit codes should conform to [the LSB's…
service	logonaccount	property		Specify an account for service logon
service	logonpassword	parameter		Specify a password for service logon. Default value is an empty string (when logonaccount is specified).
service	manifest	parameter		Specify a command to config a service, or a path to a manifest to do so.
service	name	parameter		The name of the service to run. This name is used to find the service; on platforms where services have short system names and long display names, this should be the short name. (To take an example from Windows, you would use "wuauserv" rather than "Automatic Updates.")
service	path	parameter		The search path for finding init scripts. Multiple values should be separated by colons or provided as an array.
service	pattern	parameter		The pattern to search for in the process table. This is used for stopping services on platforms that do not support init scripts, and is also used for determining service status on those service whose init scripts do not include a status command. Defaults to the name of the service. The pattern can…
service	provider	parameter		The backend used to manage this resource.
service	restart	parameter		Specify a *restart* command manually. If left unspecified, the service will be stopped and then started.
service	start	parameter		Specify a *start* command manually. Most service subsystems support a `start` command, so this will not need to be specified.
service	status	parameter		Specify a *status* command manually. This command must return 0 if the service is running and a nonzero value otherwise. Ideally, these exit codes should conform to [the LSB's specification][lsb-exit-codes] for init script status actions, but Puppet only considers the difference between 0 and…
service	stop	parameter		Specify a *stop* command manually.
service	timeout	parameter		Specify an optional minimum timeout (in seconds) for puppet to wait when syncing service properties
stage	name	parameter		The name of the stage. Use this as the value for the `stage` metaparameter when assigning classes to this stage.
tidy	age	parameter		Tidy files whose age is equal to or greater than the specified time. You can choose seconds, minutes, hours, days, or weeks by specifying the first letter of any of those words (for example, '1w' represents one week). Specifying 0 will remove all files.
tidy	backup	parameter		Whether tidied files should be backed up. Any values are passed directly to the file resources used for actual file deletion, so consult the `file` type's backup documentation to determine valid values.
tidy	matches	parameter		One or more (shell type) file glob patterns, which restrict the list of files to be tidied to those whose basenames match at least one of the patterns specified. Multiple patterns can be specified using an array. Example: tidy { '/tmp': age => '1w', recurse => 1, matches => [ '[0-9]pub*.tmp',…
tidy	max_files	parameter		In case the resource is a directory and the recursion is enabled, puppet will generate a new resource for each file file found, possible leading to an excessive number of resources generated without any control. Setting `max_files` will check the number of file resources that will eventually be…
tidy	path	parameter		The path to the file or directory to manage. Must be fully qualified.
tidy	recurse	parameter	true,false,inf	If target is a directory, recursively descend into the directory looking for files to tidy. Numeric values specify a limit for the recursion depth, `true` means unrestricted recursion.
tidy	rmdirs	parameter		Tidy directories in addition to files; that is, remove directories whose age is older than the specified criteria. This will only remove empty directories, so all contained files must also be tidied before a directory gets removed.
tidy	size	parameter		Tidy files whose size is equal to or greater than the specified size. Unqualified values are in kilobytes, but *b*, *k*, *m*, *g*, and *t* can be appended to specify *bytes*, *kilobytes*, *megabytes*, *gigabytes*, and *terabytes*, respectively. Only the first character is significant, so the full…
tidy	type	parameter	atime,mtime,ctime	Set the mechanism for determining age.
user	allowdupe	parameter		Whether to allow duplicate UIDs.
user	attribute_membership	parameter	inclusive,minimum	Whether specified attribute value pairs should be treated as the **complete list** (`inclusive`) or the **minimum list** (`minimum`) of attribute/value pairs for the user.
user	attributes	property		Specify AIX attributes for the user in an array or hash of attribute = value pairs. For example: ``` ['minage=0', 'maxage=5', 'SYSTEM=compat'] ``` or ``` attributes => { 'minage' => '0', 'maxage' => '5', 'SYSTEM' => 'compat' } ```
user	auth_membership	parameter	inclusive,minimum	Whether specified auths should be considered the **complete list** (`inclusive`) or the **minimum list** (`minimum`) of auths the user has. This setting is specific to managing Solaris authorizations.
user	auths	property		The auths the user has. Multiple auths should be specified as an array.
user	comment	property		A description of the user. Generally the user's full name.
user	ensure	property	present,absent,role	The basic state that the object should be in.
user	expiry	property		The expiry date for this user. Provide as either the special value `absent` to ensure that the account never expires, or as a zero-padded YYYY-MM-DD format -- for example, 2010-02-19.
user	forcelocal	parameter		Forces the management of local accounts when accounts are also being managed by some other Name Service Switch (NSS). For AIX, refer to the `ia_load_module` parameter. This option relies on your operating system's implementation of `luser*` commands, such as `luseradd` , and `lgroupadd`,…
user	gid	property		The user's primary group. Can be specified numerically or by name. This attribute is not supported on Windows systems; use the `groups` attribute instead. (On Windows, designating a primary group is only meaningful for domain accounts, which Puppet does not currently manage.)
user	groups	property		The groups to which the user belongs. The primary group should not be listed, and groups should be identified by name rather than by GID. Multiple groups should be specified as an array.
user	home	property		The home directory of the user. The directory must be created separately and is not currently checked for existence.
user	ia_load_module	parameter		The name of the I&A module to use to manage this user. This should be set to `files` if managing local users.
user	iterations	property		This is the number of iterations of a chained computation of the [PBKDF2 password hash](https://en.wikipedia.org/wiki/PBKDF2). This parameter is used in OS X, and is required for managing passwords on OS X 10.8 and newer.
user	key_membership	parameter	inclusive,minimum	Whether specified key/value pairs should be considered the **complete list** (`inclusive`) or the **minimum list** (`minimum`) of the user's attributes.
user	keys	property		Specify user attributes in an array of key = value pairs.
user	loginclass	property		The name of login class to which the user belongs.
user	managehome	parameter		Whether to manage the home directory when Puppet creates or removes the user. This creates the home directory if Puppet also creates the user account, and deletes the home directory if Puppet also removes the user account. This parameter has no effect unless Puppet is also creating or removing the…
user	membership	parameter	inclusive,minimum	If `minimum` is specified, Puppet will ensure that the user is a member of all specified groups, but will not remove any other groups that the user is a part of. If `inclusive` is specified, Puppet will ensure that the user is a member of **only** specified groups.
user	name	parameter		The user name. While naming limitations vary by operating system, it is advisable to restrict names to the lowest common denominator, which is a maximum of 8 characters beginning with a letter. Note that Puppet considers user names to be case-sensitive, regardless of the platform's own rules; be…
user	password	property		
user	password_max_age	property		The maximum number of days a password may be used before it must be changed.
user	password_min_age	property		The minimum number of days a password must be used before it may be changed.
user	password_warn_days	property		The number of days before a password is going to expire (see the maximum password age) during which the user should be warned.
user	profile_membership	parameter	inclusive,minimum	Whether specified roles should be treated as the **complete list** (`inclusive`) or the **minimum list** (`minimum`) of roles of which the user is a member.
user	profiles	property		The profiles the user has. Multiple profiles should be specified as an array.
user	project	property		The name of the project associated with a user.
user	provider	parameter		The backend used to manage this resource.
user	purge_ssh_keys	parameter	true,false	Whether to purge authorized SSH keys for this user if they are not managed with the `ssh_authorized_key` resource type. This parameter is a noop if the ssh_authorized_key type is not available. Allowed values are: * `false` (default) --- don't purge SSH keys for this user. * `true` --- look for…
user	role_membership	parameter	inclusive,minimum	Whether specified roles should be considered the **complete list** (`inclusive`) or the **minimum list** (`minimum`) of roles the user has.
user	roles	property		The roles the user has. Multiple roles should be specified as an array.
user	salt	property		This is the 32-byte salt used to generate the PBKDF2 password used in OS X. This field is required for managing passwords on OS X >= 10.8.
user	shell	property		The user's login shell. The shell must exist and be executable. This attribute cannot be managed on Windows systems.
user	system	parameter		Whether the user is a system user, according to the OS's criteria; on most platforms, a UID less than or equal to 500 indicates a system user. This parameter is only used when the resource is created and will not affect the UID when the user is present.
user	uid	property		The user ID; must be specified numerically. If no user ID is specified when creating a new user, then one will be chosen automatically. This will likely result in the same user having different UIDs on different systems, which is not recommended. This is especially noteworthy when managing the same…
whit	name	parameter		The name of the whit, because it must have one.
